index,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
31,barrio Rejas,1,es,{'typology': 'flat'},25927,San Blas,True,900cs-2,4,False,False,True,False,False,40.4491059,-3.5793937,Madrid,Rejas,False,20,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,86906749,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/fc/b0/706213946.jpg,https://www.idealista.com/inmueble/86906749/
32,barrio Rejas,1,es,{'typology': 'flat'},25634,San Blas,True,900cs-5,4,False,False,True,False,False,40.4465059,-3.5783937,Madrid,Rejas,False,20,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,87508452,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/d7/94/723515458.jpg,https://www.idealista.com/inmueble/87508452/
33,barrio Rejas,1,es,{'typology': 'flat'},25653,San Blas,True,900cs-3,2,False,False,True,False,False,40.4467059,-3.5783937,Madrid,Rejas,False,22,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,87354913,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fd/97/2d/718679051.jpg,https://www.idealista.com/inmueble/87354913/
34,barrio Rejas,1,es,{'typology': 'flat'},25760,San Blas,True,900cs-4,3,False,False,True,False,False,40.4461059,-3.5822937,Madrid,Rejas,False,22,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,87357493,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4a/1a/60/718733307.jpg,https://www.idealista.com/inmueble/87357493/
35,barrio Rejas,1,es,{'typology': 'flat'},25791,San Blas,True,900cs-1,3,False,False,True,False,False,40.4466059,-3.5818937,Madrid,Rejas,False,23,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,86790504,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/db/d8/703139747.jpg,https://www.idealista.com/inmueble/86790504/
36,Castillo - Campodón,1,es,"{'typology': 'flat', 'subTypology': 'studio'}",40862,Castillo - Campodón,True,,bj,False,False,False,False,False,40.360069,-3.8872839,Villaviciosa de Odón,,False,3,rent,,699.0,23.0,87807835,studio,Madrid,0,False,30.0,good,"{'subtitle': 'Castillo - Campodón, Villaviciosa de Odón', 'title': 'Estudio'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/3e/fd/731362987.jpg,https://www.idealista.com/inmueble/87807835/
37,barrio Rejas,1,es,{'typology': 'flat'},25658,San Blas,True,900310119,4,False,False,True,False,False,40.4467592,-3.5783811,Madrid,Rejas,False,16,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",699.0,13.0,84096215,flat,Madrid,1,False,55.0,good,"{'subtitle': 'Rejas, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/f7/c7/631750050.jpg,https://www.idealista.com/inmueble/84096215/
38,barrio Palacio,1,es,{'typology': 'flat'},29787,Centro,False,VI-000-030-660-871,,False,False,,True,False,40.4073266,-3.7097097,Madrid,Palacio,False,9,rent,,1150.0,14.0,85010678,flat,Madrid,3,False,84.0,good,"{'subtitle': 'Palacio, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e5/78/3d/651935056.jpg,https://www.idealista.com/inmueble/85010678/
39,Chorrillo,1,es,{'typology': 'flat'},27480,Chorrillo,False,VI-000-030-677-472,,False,False,True,True,False,40.4891763,-3.3717474,Alcalá de Henares,,False,14,rent,,640.0,9.0,38756947,flat,Madrid,3,False,71.0,good,"{'subtitle': 'Chorrillo, Alcalá de Henares', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c1/44/4a/247492932.jpg,https://www.idealista.com/inmueble/38756947/
40,"Calle carretas, 25",1,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",29898,Centro,False,3F  1BR ATICO CARR,3,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,22,rent,,1279.0,32.0,86504430,penthouse,Madrid,1,True,40.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Ático en Calle carretas, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/8b/42/695236165.jpg,https://www.idealista.com/inmueble/86504430/
41,barrio Molino de la Hoz,5,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",54251,Molino de la Hoz,False,AG131956,,False,False,,False,True,40.53965,-3.94079,Las Rozas de Madrid,Molino de la Hoz,False,57,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",9500.0,13.0,83420598,chalet,Madrid,6,False,750.0,good,"{'subtitle': 'Molino de la Hoz, Las Rozas de Madrid', 'title': 'Casa independiente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/f0/e5/620977936.jpg,https://www.idealista.com/inmueble/83420598/
